Date,Close
2016-01-04,7791.2998046875
2016-01-05,7784.64990234375
2016-01-06,7741.0
2016-01-07,7568.2998046875
2016-01-08,7601.35009765625
2016-01-11,7563.85009765625
2016-01-12,7510.2998046875
2016-01-13,7562.39990234375
2016-01-14,7536.7998046875
2016-01-15,7437.7998046875
2016-01-18,7351.0
2016-01-19,7435.10009765625
2016-01-20,7309.2998046875
2016-01-21,7276.7998046875
2016-01-22,7422.4501953125
2016-01-25,7436.14990234375
2016-01-27,7437.75
2016-01-28,7424.64990234375
2016-01-29,7563.5498046875
2016-02-01,7555.9501953125
2016-02-02,7455.5498046875
2016-02-03,7361.7998046875
2016-02-04,7404.0
2016-02-05,7489.10009765625
2016-02-08,7387.25
2016-02-09,7298.2001953125
2016-02-10,7215.7001953125
2016-02-11,6976.35009765625
2016-02-12,6980.9501953125
2016-02-15,7162.9501953125
2016-02-16,7048.25
2016-02-17,7108.4501953125
2016-02-18,7191.75
2016-02-19,7210.75
2016-02-22,7234.5498046875
2016-02-23,7109.5498046875
2016-02-24,7018.7001953125
2016-02-25,6970.60009765625
2016-02-26,7029.75
2016-02-29,6987.0498046875
2016-03-01,7222.2998046875
2016-03-02,7368.85009765625
2016-03-03,7475.60009765625
2016-03-04,7485.35009765625
2016-03-08,7485.2998046875
2016-03-09,7531.7998046875
2016-03-10,7486.14990234375
2016-03-11,7510.2001953125
2016-03-14,7538.75
2016-03-15,7460.60009765625
2016-03-16,7498.75
2016-03-17,7512.5498046875
2016-03-18,7604.35009765625
2016-03-21,7704.25
2016-03-22,7714.89990234375
2016-03-23,7716.5
2016-03-28,7615.10009765625
2016-03-29,7597.0
2016-03-30,7735.2001953125
2016-03-31,7738.39990234375
2016-04-01,7713.0498046875
2016-04-04,7758.7998046875
2016-04-05,7603.2001953125
2016-04-06,7614.35009765625
2016-04-07,7546.4501953125
2016-04-08,7555.2001953125
2016-04-11,7671.39990234375
2016-04-12,7708.9501953125
2016-04-13,7850.4501953125
2016-04-18,7914.7001953125
2016-04-20,7914.75
2016-04-21,7912.0498046875
2016-04-22,7899.2998046875
2016-04-25,7855.0498046875
2016-04-26,7962.64990234375
2016-04-27,7979.89990234375
2016-04-28,7847.25
2016-04-29,7849.7998046875
2016-05-02,7805.89990234375
2016-05-03,7747.0
